new subzone ,new site unit,old site unit 
CWHvh3,101,vh2/01
CWHvh3,101,vh2/03
CWHvh3,102,vh2/02
CWHvh3,103,vh2/14
CWHvh3,103,vh2/16
CWHvh3,104,vh2/15
CWHvh3,105,vh2/04
CWHvh3,106,vh2/05
CWHvh3,106,vh2/17
CWHvh3,110,vh2/06
CWHvh3,111,vh2/08
CWHvh3,112,vh2/09
CWHvh3,113,vh2/10
CWHvh3,114,vh2/07
CWHvh3,115,vh2/11
CWHvh3,116,vh2/18
CWHvh3,116,vh2/19
CWHvh3,117,vh2/13
CWHvh3,118,N/A
CWHvh3,Wb51,N/A
CWHvh3,Wb53,vh2/12
CWHvh3,Wb54,NPE
CWHvh3,Wf51,NPE
CWHwh1,101,wh1/01
CWHwh1,102,wh1/02
CWHwh1,103,wh1/15
CWHwh1,103,wh1/13
CWHwh1,104,wh1/14
CWHwh1,105,wh1/03
CWHwh1,105,wh1/16
CWHwh1,106,N/A
CWHwh1,110,wh1/04
CWHwh1,111,wh1/05
CWHwh1,112,wh1/07
CWHwh1,113,wh1/08
CWHwh1,114,wh1/09
CWHwh1,115,wh1/10
CWHwh1,116,wh1/06
CWHwh1,117,wh1/17
CWHwh1,117,wh1/18
CWHwh1,118,wh1/12
CWHwh1,Wb51,wh1/11
CWHwh1,Wb53,N/A
CWHwh1,Wb54,N/A
CWHwh1,Wf51,NPE
CWHwh2,101,wh2/01
CWHwh2,101,wh2/02
CWHwh2,102,N/A
CWHwh2,103,N/A
CWHwh2,104,N/A
CWHwh2,105,N/A
CWHwh2,106,N/A
CWHwh2,110,wh2/03
CWHwh2,111,wh2/05
CWHwh2,112,wh2/04
CWHwh2,112,wh2/06
CWHwh2,113,N/A
CWHwh2,114,N/A
CWHwh2,115,N/A
CWHwh2,116,N/A
CWHwh2,117,N/A
CWHwh2,118,N/A
CWHwh2,Wb51,N/A
CWHwh2,Wb53,NPE
CWHwh2,Wb54,NPE
CWHwh2,Wf51,N/A
MHwh,101,wh/01
MHwh,101,wh/04
MHwh,102,wh/02
MHwh,103,N/A
MHwh,104,N/A
MHwh,105,N/A
MHwh,106,N/A
MHwh,110,wh/03
MHwh,111,wh/05
MHwh,111,wh/06
MHwh,111,wh/07
MHwh,111,wh/09
MHwh,112,N/A
MHwh,113,N/A
MHwh,114,N/A
MHwh,115,N/A
MHwh,116,N/A
MHwh,117,N/A
MHwh,118,N/A
MHwh,Wb51,N/A
MHwh,Wb53,wh/08
MHwh,Wb54,wh/08
MHwh,Wf51,N/A
